station,name,x,y,tair
32182.0,Cape Ferguson Ntc Aws,147.1,-19.3,[26.500 - 29]
33002.0,Ayr Dpi Research Stn,147.4,-19.6,[29 - 31.500]
33045.0,Mackay Aero,149.2,-21.2,[26.500 - 29]
33106.0,Hamilton Island Airport,149.0,-20.4,[26.500 - 29]
33119.0,Mackay M.o,149.2,-21.1,[26.500 - 29]
33195.0,Williamson,150.2,-22.5,[26.500 - 29]
33208.0,Rosslyn Bay Ntc Aws,150.8,-23.2,[26.500 - 29]
33210.0,St Lawrence,149.5,-22.3,[26.500 - 29]
33247.0,Proserpine Airport,148.6,-20.5,[26.500 - 29]
33294.0,Yeppoon The Esplanade,150.8,-23.1,[26.500 - 29]
33295.0,Alva Beach,147.5,-19.5,[29 - 31.500]
33307.0,Woolshed,146.5,-19.4,[24 - 26.500]
33308.0,Samuel Hill Aero,150.7,-22.7,[26.500 - 29]
34035.0,Moranbah Airport,148.1,-22.1,[26.500 - 29]
35124.0,Clermont Airport,147.6,-22.8,[26.500 - 29]
35129.0,Rolleston Airport,148.6,-24.5,[26.500 - 29]
35134.0,Blackwater Airport,148.8,-23.6,[26.500 - 29]
35139.0,Lochington,147.5,-23.9,[26.500 - 29]
35264.0,Emerald Airport,148.2,-23.6,[26.500 - 29]
36031.0,Longreach Aero,144.3,-23.4,[29 - 31.500]
36034.0,Blackall Airport,145.4,-24.4,[29 - 31.500]
37010.0,Camooweal Township,138.1,-19.9,[31.500 - 34]
37034.0,The Monument Airport,139.9,-21.8,[31.500 - 34]
37036.0,Trepell Airport,140.9,-21.8,[31.500 - 34]
37039.0,Winton Airport,143.1,-22.4,[29 - 31.500]
37058.0,Urandangi Aerodrome,138.4,-21.6,[31.500 - 34]
37059.0,New May Downs,139.3,-20.6,[29 - 31.500]
38026.0,Birdsville Airport,139.3,-25.9,[31.500 - 34]
39059.0,Lady Elliot Island,152.7,-24.1,[26.500 - 29]
39066.0,Gayndah Airport,151.6,-25.6,[26.500 - 29]
39083.0,Rockhampton Aero,150.5,-23.4,[26.500 - 29]
39089.0,Thangool Airport,150.6,-24.5,[26.500 - 29]
39122.0,Heron Island Res Stn,151.9,-23.4,[26.500 - 29]
39123.0,Gladstone Radar,151.3,-23.9,[26.500 - 29]
39128.0,Bundaberg Aero,152.3,-24.9,[26.500 - 29]
39322.0,Rundle Island,151.3,-23.5,[24 - 26.500]
39326.0,Gladstone Airport,151.2,-23.9,[26.500 - 29]
40004.0,Amberley Amo,152.7,-27.6,[26.500 - 29]
40043.0,Cape Moreton Lighthouse,153.5,-27.0,[24 - 26.500]
40068.0,Double Island Point Lighthouse,153.2,-25.9,[26.500 - 29]
40082.0,University Of Queensland Gatton,152.3,-27.5,[26.500 - 29]
40093.0,Gympie,152.6,-26.2,[26.500 - 29]
40126.0,Maryborough,152.7,-25.5,[26.500 - 29]
40211.0,Archerfield Airport,153.0,-27.6,[26.500 - 29]
40223.0,Brisbane Aero,153.1,-27.4,[24 - 26.500]
