ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
335308,Mount Gordon,"Mammoth, Gunpowder, Esperanza, Esperanza South",QLD,operating mine,139.3631556,-19.694925,Copper,3,Aditya Birla Group,http://www.adityabirla.com,Aditya Birla Minerals,http://www.adityabirlaminerals.com.au,,,,,,
333421,Angus Place,,NSW,operating mine,150.1990187,-33.34915717,Coal - black,2,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
336050,Clarence,includes Blue Mountains,NSW,operating mine,150.2439304,-33.45647907,Coal - black,2,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
335647,Olympic Dam,Roxby Downs,SA,operating mine,136.889293,-30.43744351,"Copper, Uranium, Gold, (Silver)",1,BHP Billiton,http://www.bhpbilliton.com,BHP Billiton - Olympic Dam,http://www.bhpbilliton.com/bb/ourBusinesses/baseMetals/olympicDam.jsp,,,,,,
334929,Oraparinna,,SA,operating mine,138.8699799,-31.31705928,Barite,6,,,,,,,,,,
333875,Orebody 25,Mt Newman,WA,operating mine,119.78702,-23.32825,Iron,6,,,,,,,,,,
333691,Paddington,Paddington Project,WA,operating mine,121.3437,-30.485,Gold,3,Norton Gold Fields Limited,http://www.nortongoldfields.com.au,,,,,,,,
336095,Pajingo,"Pajingo Project, Cindy, Vera, Nancy, Scott, Jandam, Veracity",QLD,operating mine,146.4634,-20.548,"Gold, Silver",4,Australian Institute of Geoscientists,http://aig.org.au/,Heemskirk Consolidated Limited,http://www.heemskirk.com,Evolution Mining Limited,http://www.evolutionmining.com.au/,,,,
335141,Peak Hill,"Millidie, Mt Padbury",WA,operating mine,118.6050225,-25.45720002,"Manganese ore, (Manganese)",5,Mineral Resources Ltd,http://www.mineralresources.com.au,,,,,,,,
333388,Ranger,,NT,operating mine,132.9184626,-12.67353859,"Uranium, Uranium oxide",3,Energy Resources of Australia Ltd,http://www.energyres.com.au,"Australia's Uranium Resources, Geology and Development of Deposits",http://www.ga.gov.au/image_cache/GA9508.pdf,,,,,,
336018,Redbank,"Azurite, Punchbowl, Roman Nose, Bluff, Sandy Flat",NT,operating mine,137.7435028,-17.19323056,Copper,4,Redbank Copper Limited,http://www.redbankcopper.com.au/,,,,,,,,
334710,Dardanup (Doral),,WA,operating mine,115.805012,-33.353734,"Ilmenite, Zircon, Rutile, Leucoxene",6,Iwatani International Corporation,http://www.iwatani.co.jp/eng/,Doral Mineral Sands Pty Ltd,http://www.doral.com.au,,,,,,
334020,Maddingley,,VIC,operating mine,144.4401611,-37.70428889,Coal - brown,2,Department of Primary Industries,http://www.dpi.vic.gov.au,,,,,,,,
